iter	Passed	Remaining
399	33335	50003
400	33413	49912
401	33489	49817
402	33560	49715
403	33634	49619
404	33714	49531
405	33795	49443
406	33867	49345
407	33952	49264
408	34045	49195
409	34128	49111
410	34216	49035
411	34308	48964
412	34394	48884
413	34476	48799
414	34561	48719
415	34633	48620
416	34713	48532
417	34798	48451
418	34878	48364
419	34962	48282
420	35045	48198
421	35131	48118
422	35208	48026
423	35287	47938
424	35383	47871
425	35467	47789
426	35551	47707
427	35649	47643
428	35740	47570
429	35820	47482
430	35907	47404
431	35989	47319
432	36058	47217
433	36151	47146
434	36237	47066
435	36313	46974
436	36389	46882
437	36481	46810
438	36575	46739
439	36662	46661
440	36741	46572
441	36837	46505
442	36907	46404
443	36978	46306
444	37061	46223
445	37149	46145
446	37245	46078
447	37318	45982
448	37393	45888
449	37489	45820
450	37577	45743
451	37660	45658
452	37756	45591
453	37841	45509
454	37921	45422
455	38018	45355
456	38117	45290
457	38207	45214
458	38282	45121
459	38378	45053
460	38451	44957
461	38550	44892
462	38624	44797
463	38693	44698
464	38782	44621
465	38857	44528
466	38950	44455
467	39026	44363
468	39097	44266
469	39192	44196
470	39265	44100
471	39339	44006
472	39426	43927
473	39512	43846
474	39601	43770
475	39683	43685
476	39792	43630
477	39872	43542
478	39958	43462
479	40046	43383
480	40130	43300
481	40200	43203
482	40271	43106
483	40357	43025
484	40427	42928
485	40497	42831
486	40575	42741
487	40660	42660
488	40744	42577
489	40836	42502
490	40925	42425
491	41003	42336
492	41089	42256
493	41182	42182
494	41262	42096
495	41347	42014
496	41418	41918
497	41499	41832
498	41577	41744
499	41666	41666
500	41755	41588
501	41846	41512
502	41933	41433
503	42018	41351
504	42093	41260
505	42178	41178
506	42270	41103
507	42345	41011
508	42434	40933
509	42524	40857
510	42595	40761
511	42673	40673
512	42743	40576
513	42838	40505
514	42930	40429
515	43016	40348
516	43101	40266
517	43204	40201
518	43284	40114
519	43371	40035
520	43445	39943
521	43520	39852
522	43590	39756
523	43685	39683
524	43749	39582
525	43828	39495
526	43920	39419
527	43987	39322
528	44076	39244
529	44163	39163
